Sr.No,Stock,Sector,Shares Held or Principal Amt,Market Value,% of Portfolio,Previous % of Portfolio,Ranked,Change in Shares,% Change,% Ownership,Qtr 1st Owned,Estimated Avg Price Paid,Quarter End Price,Recent Price,Source,Source Date,Date Reported
3216,X(PUT),MATERIALS,500000,18870000,0,,3166,"500,000",,,Q1 2022,,,17.34,13F,2031-01-19,2031-03-02
3217,IWO,FINANCE,73742,18859000,0,0,3167,"21,233",-0.22,,Q4 2015,269.11,255.75,207.83,13F,2031-01-20,2031-03-03
3218,FRST,FINANCE,1347454,18836000,0,0,3168,"48,272",-0.03,0.0547,Q2 2016,15.6,13.98,12.75,13F,2031-01-21,2031-03-04
3219,BROS,CONSUMER DISCRETIONARY,340347,18811000,0,0,3169,"14,075",-0.03,0.0086,Q3 2021,49.63,55.27,36.79,13F,2031-01-22,2031-03-05
3220,DEBT-AIRB(PRN),,19459000,18810000,0,,3170,"19,459,000",,,Q1 2022,,,,13F,2031-01-23,2031-03-06
3221,XENE,HEALTH CARE,614957,18801000,0,0,3171,"47,385",0.08,0.0116,Q4 2018,19.51,30.57,31.98,13F,2031-01-24,2031-03-07
3222,DEBT-TWIT(PRN),,22350000,18762000,0,,3172,"22,350,000",,,Q1 2022,,,,13F,2031-01-25,2031-03-08
3223,PHAT,HEALTH CARE,1378517,18761000,0,0,3173,"94,608",-0.06,0.0353,Q4 2019,29.9,13.61,9.44,13F,2031-01-26,2031-03-09
3224,MFC,FINANCE,878359,18753000,0,0,3174,"80,450",0.1,0.0005,Q1 2017,21.3,21.35,16.72,13F,2031-01-27,2031-03-10
3225,FLNC,UTILITIES AND TELECOMMUNICATIONS,1430213,18750000,0,0,3175,"538,458",-0.27,0.0259,Q4 2021,35.56,13.11,9.77,13F,2031-01-28,2031-03-11
3226,STR,FINANCE,2905853,19585000,0,0,3151,"177,119",-0.05,0.0617,Q4 2018,6.84,6.74,24.85,13F,2031-01-29,2031-03-12
3227,TLK,UTILITIES AND TELECOMMUNICATIONS,585520,18708000,0,0,3176,"109,266",0.22,0.0006,Q2 2019,25.64,31.95,26.66,13F,2031-01-30,2031-03-13
3228,GNOG,FINANCE,2629284,18694000,0,0,3177,"6,892",,,Q1 2021,13.32,7.11,,13F,2031-01-31,2031-03-14
3229,AXTI,INFORMATION TECHNOLOGY,2655631,18643000,0,0,3178,"66,712",-0.02,0.0618,Q4 2016,6.57,7.02,6.29,13F,2031-02-01,2031-03-15
3230,ATLC,FINANCE,359187,18602000,0,0,3179,"7,655",0.02,0.0242,Q3 2016,5.65,51.79,39.4,13F,2031-02-02,2031-03-16
3231,MIR,FINANCE,2302251,18580000,0,0,3180,"935,824",0.68,0.0115,Q4 2021,9.49,8.07,5.71,13F,2031-02-03,2031-03-17
3232,IGMS,HEALTH CARE,694824,18573000,0,0,3181,"17,867",0.02,0.0254,Q3 2019,59.07,26.73,19.65,13F,2031-02-04,2031-03-18
3233,PV3B:SWB,,1526153,18543000,0,0,3182,"85,522",0.05,,Q4 2020,,,,13F,2031-02-05,2031-03-19
3234,IMVT,FINANCE,3353866,18479000,0,0,3183,"28,865",,0.0288,Q4 2019,29.56,5.51,4.29,13F,2031-02-06,2031-03-20
3235,IRMD,HEALTH CARE,411879,18469000,0,0,3184,"8,215",-0.01,0.0328,Q4 2015,24.3,44.84,35.72,13F,2031-02-07,2031-03-21
3236,DEBT-MICR(PRN),,25800000,18431000,0,,3185,"25,800,000",,,Q1 2022,,,,13F,2031-02-08,2031-03-22
3237,FREE,FINANCE,2573148,18424000,0,0,3186,"12,430",,0.0614,Q3 2020,13.21,7.16,5.68,13F,2031-02-09,2031-03-23
3238,ICVT,FINANCE,221085,18420000,0,,3187,"220,704",579.27,,Q3 2021,83.35,83.32,69.62,13F,2031-02-10,2031-03-24
3239,INTA,INFORMATION TECHNOLOGY,766305,18398000,0,0,3188,"144,766",0.23,0.0123,Q3 2021,25.38,24.01,14.72,13F,2031-02-11,2031-03-25
3240,VCIT,FINANCE,213745,18391000,0,0,3189,"4,938",0.02,,Q4 2015,95.36,86.04,80.32,13F,2031-02-12,2031-03-26
3241,NMR,FINANCE,4351629,18364000,0,0,3190,"83,811",-0.01,0.0013,Q3 2020,5.25,4.22,3.66,13F,2031-02-13,2031-03-27
3242,TCS,CONSUMER DISCRETIONARY,2243955,18332000,0,0,3191,"26,321",-0.01,0.0443,Q4 2013,9.19,8.17,6.45,13F,2031-02-14,2031-03-28
3243,DBA(CALL),CONSUMER STAPLES,835400,18278000,0,,3192,"835,400",,,Q1 2022,,,19.52,13F,2031-02-15,2031-03-29
3244,MNMD,HEALTH CARE,16434210,18242000,0,0,3193,"631,364",-0.03,0.0384,Q2 2021,3.34,1.11,0.68,13F,2031-02-16,2031-03-30
3245,CURO,FINANCE,1395059,18206000,0,0,3194,"14,765",-0.01,0.0346,Q1 2018,17.75,13.05,5.71,13F,2031-02-17,2031-03-31
3246,VCTR,FINANCE,630415,18201000,0,0,3195,"159,042",0.33,0.0092,Q1 2018,22.33,28.87,22.69,13F,2031-02-18,2031-04-01
3247,RLGT,TRANSPORTS,2848820,18148000,0,0,3196,"21,721",,0.0576,Q1 2016,5.2,6.37,6.89,13F,2031-02-19,2031-04-02
3248,FXLV,CONSUMER DISCRETIONARY,1691005,18093000,0,0,3197,"501,691",0.42,0.0178,Q3 2021,13.06,10.7,3.51,13F,2031-02-20,2031-04-03
3249,PCSB,FINANCE,943814,18036000,0,0,3198,"3,848",,0.0615,Q2 2017,17.54,19.11,18.59,13F,2031-02-21,2031-04-04
3250,CZOO,FINANCE,6527310,18016000,0,0,3199,"20,500",,0.0086,Q3 2021,7.75,2.76,0.64,13F,2031-02-22,2031-04-05
3251,DVYE,FINANCE,549562,17970000,0,0,3200,"80,841",-0.12,,Q4 2013,35.99,32.7,24.62,13F,2031-02-23,2031-04-06
3252,MAXN,ENERGY,1237591,17920000,0,0,3201,"249,530",0.25,0.0277,Q3 2020,15.81,14.48,12.29,13F,2031-02-24,2031-04-07
3253,PTSI,TRANSPORTS,514567,17883000,0,0,3202,"5,419",-0.01,0.0462,Q1 2016,13.59,34.75,28.01,13F,2031-02-25,2031-04-08
3254,OMIC,HEALTH CARE,2830677,17862000,0,0,3203,"1,700,829",1.5,0.0401,Q2 2021,8.7,6.31,4.09,13F,2031-02-26,2031-04-09
3255,DXJ,FINANCE,278260,17814000,0,0,3204,"31,358",-0.1,,Q4 2021,62.54,64.02,62.84,13F,2031-02-27,2031-04-10
3256,CPTK.UN,FINANCE,1800000,17784000,0,0,3205,No Change,0,,Q1 2021,9.94,9.96,9.84,13F,2031-02-28,2031-04-11
3257,DGICA,FINANCE,1319081,17688000,0,0,3206,"58,053",-0.04,0.051,Q1 2016,16.34,13.41,16.17,13F,2031-03-01,2031-04-12
3258,VTNR,INDUSTRIALS,1779290,17687000,0,0,3207,"195,570",-0.09,0.0276,Q1 2017,10.35,9.94,9.85,13F,2031-03-02,2031-04-13
3259,CMBM,COMMUNICATIONS,746989,17660000,0,0,3208,"17,368",0.02,0.0278,Q3 2019,25.43,23.64,15.1,13F,2031-03-03,2031-04-14
3260,EP+C,ENERGY,354415,17650000,0,0,3209,"19,105",-0.05,,Q4 2021,50.59,49.8,45.54,13F,2031-03-04,2031-04-15
3261,BATRA,COMMUNICATIONS,612302,17621000,0,0,3210,"10,878",-0.01,0.0594,Q2 2016,24.2,28.78,26.26,13F,2031-03-05,2031-04-16
3262,SMMF,FINANCE,686072,17557000,0,0,3211,"5,318",,0.0537,Q2 2016,22.86,25.59,27.15,13F,2031-03-06,2031-04-17
3263,SUSC,FINANCE,696913,17514000,0,0,3212,"34,870",-0.04,,Q2 2018,27.72,25.13,23.26,13F,2031-03-07,2031-04-18
3264,NUVL,HEALTH CARE,1257463,17466000,0,0,3213,"291,821",0.3,0.0293,Q3 2021,19.66,13.89,17.88,13F,2031-03-08,2031-04-19
3265,ESPR,HEALTH CARE,3763740,17463000,0,0,3214,"1,522,523",0.67,0.0597,Q1 2015,22.83,4.64,6.74,13F,2031-03-09,2031-04-20
3266,PVBC,FINANCE,1075957,17452000,0,0,3215,"25,786",-0.02,0.0604,Q2 2016,12,16.22,15.3,13F,2031-03-10,2031-04-21
3267,AHT,REAL ESTATE,1710372,17446000,0,0,3216,"6,539",,0.0496,Q1 2010,248.56,10.2,7.87,13F,2031-03-11,2031-04-22
3268,DEBT-SHIF(PRN),,16651000,17434000,0,,3217,"16,651,000",,,Q1 2022,,,,13F,2031-03-12,2031-04-23
3269,TNK,TRANSPORTS,1255658,17378000,0,0,3218,"13,135",-0.01,0.0431,Q2 2014,14.29,13.84,17.12,13F,2031-03-13,2031-04-24
3270,HBCP,FINANCE,425808,17368000,0,0,3219,"1,716",,0.051,Q2 2016,36.81,40.79,34.75,13F,2031-03-14,2031-04-25
3271,DEBT-ALLE(PRN),,9269000,17368000,0,0,3220,"279,000",0.03,,Q3 2021,,,,13F,2031-03-15,2031-04-26
3272,DEBT-BOOK(PRN),,12005000,17323000,0,0,3221,"846,000",-0.06,,Q2 2021,,,,13F,2031-03-16,2031-04-27
3273,WNS,INFORMATION TECHNOLOGY,202173,17285000,0,0,3222,"51,870",-0.2,0.0041,Q1 2013,79.72,85.49,74.94,13F,2031-03-17,2031-04-28
3274,E,ENERGY,590847,17282000,0,0,3223,"5,621",,0.0003,Q4 2020,24.75,29.25,21.39,13F,2031-03-18,2031-04-29
3275,DEBT-AKAM(PRN),,15026000,17273000,0,0,3224,"5,575,000",0.58,,Q3 2020,,,,13F,2031-03-19,2031-04-30
3276,DSGX,INFORMATION TECHNOLOGY,235686,17266000,0,0,3225,"14,735",0.06,0.0028,Q4 2018,39.99,73.26,63.26,13F,2031-03-20,2031-05-01
3277,ATOM,INFORMATION TECHNOLOGY,1321238,17256000,0,0,3226,"23,759",-0.01,0.0565,Q1 2017,11.3,13.06,10.49,13F,2031-03-21,2031-05-02
3278,MIRM,HEALTH CARE,782830,17238000,0,0,3227,"10,732",0.01,0.0246,Q3 2019,18.57,22.02,23.74,13F,2031-03-22,2031-05-03
3279,HRT,INFORMATION TECHNOLOGY,1006910,17218000,0,0,3228,"23,943",0.02,0.0127,Q4 2021,16.03,17.1,13.41,13F,2031-03-23,2031-05-04
3280,TS,ENERGY,570987,17170000,0,0,3229,"35,178",-0.05,0.001,Q3 2020,22.49,30.07,24.28,13F,2031-03-24,2031-05-05
3281,DEBT-OMNI(PRN),,12168000,17151000,0,0,3230,"700,000",0.06,,Q3 2021,,,,13F,2031-03-25,2031-05-06
3282,DEBT-CINE(PRN),,11650000,17140000,0,0,3231,"1,275,000",0.12,,Q3 2021,,,,13F,2031-03-26,2031-05-07
3283,SAN,FINANCE,5060523,17105000,0,0,3232,"1,507,629",0.42,0.0003,Q1 2017,3.49,3.38,2.31,13F,2031-03-27,2031-05-08
3284,ENFN,INFORMATION TECHNOLOGY,1342703,17079000,0,0,3233,"49,953",0.03,0.0205,Q4 2021,20.63,12.72,9.66,13F,2031-03-28,2031-05-09
3285,JHX,MATERIALS,566437,17078000,0,0,3234,"29,838",-0.05,0.0013,Q3 2020,30.76,30.15,23.21,13F,2031-03-29,2031-05-10
3286,FHTX,HEALTH CARE,1116634,17006000,0,0,3235,"31,339",-0.02,0.0269,Q4 2020,14.66,15.23,14.48,13F,2031-03-30,2031-05-11
3287,DEBT-BLOC(PRN),,18754000,16985000,0,0,3236,"300,000",-0.01,,Q4 2021,,,,13F,2031-03-31,2031-05-12
3288,DEBT-SABR(PRN),,10338000,16960000,0,0,3237,"3,350,000",0.47,,Q2 2021,,,,13F,2031-04-01,2031-05-13
3289,SMRT,INDUSTRIALS,3351259,16958000,0,0,3238,"424,628",-0.11,0.0173,Q1 2021,9.91,5.06,4.47,13F,2031-04-02,2031-05-14
3290,DEBT-MONG(PRN),,7794000,16878000,0,0,3239,"505,000",0.06,,Q1 2021,,,,13F,2031-04-03,2031-05-15
3291,ARIS,INDUSTRIALS,925762,16848000,0,0,3240,"19,206",-0.02,0.0421,Q4 2021,12.95,18.2,16.46,13F,2031-04-04,2031-05-16
3292,ULH,TRANSPORTS,833880,16803000,0,0,3241,"3,537",,0.0315,Q1 2016,21.95,20.15,24.99,13F,2031-04-05,2031-05-17
3293,KNBE,INFORMATION TECHNOLOGY,729028,16781000,0,0,3242,"79,462",-0.09,0.0097,Q2 2021,22.68,23.02,15.85,13F,2031-04-06,2031-05-18
3294,JNCE,HEALTH CARE,2466858,16751000,0,0,3243,"44,178",-0.01,0.0477,Q1 2017,9.93,6.79,3.4,13F,2031-04-07,2031-05-19
3295,HTPA,FINANCE,1704056,16751000,0,,3244,"1,704,056",,0.0568,Q1 2022,9.83,9.83,9.89,13F,2031-04-08,2031-05-20
3296,BSBR,FINANCE,2170278,16712000,0,0,3245,"198,058",0.1,0.0006,Q1 2012,7.84,7.7,4.92,13F,2031-04-09,2031-05-21
3297,JANX,HEALTH CARE,1161721,16659000,0,0,3246,"153,460",0.15,0.0279,Q2 2021,,14.34,15.97,13F,2031-04-10,2031-05-22
3298,NESR,FINANCE,1982267,16650000,0,0,3247,"15,415",,0.0218,Q4 2018,10.51,8.4,6.1,13F,2031-04-11,2031-05-23
3299,VRM,CONSUMER DISCRETIONARY,6247885,16619000,0,0,3248,"11,631,145",-0.65,0.0453,Q2 2020,41.06,2.66,1.48,13F,2031-04-12,2031-05-24
3300,ALLK,HEALTH CARE,2911899,16599000,0,0,3249,"226,498",0.08,0.0532,Q3 2018,58.28,5.7,3.75,13F,2031-04-13,2031-05-25
3301,LTCH,FINANCE,3882662,16579000,0,0,3250,"1,204,303",-0.23,0.027,Q1 2021,10.85,4.27,1.18,13F,2031-04-14,2031-05-26
3302,PSO,COMMUNICATIONS,1659201,16542000,0,0,3251,"397,676",0.31,0.0022,Q4 2020,10.17,9.97,8.99,13F,2031-04-15,2031-05-27
3303,SLGC,FINANCE,2057346,16500000,0,0,3252,"98,990",0.05,0.0113,Q4 2021,11.47,8.02,4.89,13F,2031-04-16,2031-05-28
3304,DAVE,FINANCE,2304546,16478000,0,,3253,"2,304,546",,0.0727,Q1 2022,,,0.58,13F,2031-04-17,2031-05-29
3305,DICE,HEALTH CARE,860540,16462000,0,0,3254,"5,245",,0.0225,Q4 2021,25.27,19.13,14.97,13F,2031-04-18,2031-05-30
3306,PSTL,REAL ESTATE,973723,16378000,0,0,3255,"190,989",0.24,0.0519,Q2 2019,17.95,16.82,14.79,13F,2031-04-19,2031-05-31
3307,ALTG,FINANCE,1323282,16355000,0,0,3256,"22,450",-0.01,0.0408,Q1 2020,8.49,12.36,9.72,13F,2031-04-20,2031-06-01
3308,UWMC,INFORMATION TECHNOLOGY,3601704,16315000,0,0,3257,"839,275",-0.18,0.0389,Q3 2020,7.25,4.53,3.42,13F,2031-04-21,2031-06-02
3309,ORRF,FINANCE,710075,16283000,0,0,3258,"20,982",-0.02,0.0642,Q2 2016,21.5,22.93,23.26,13F,2031-04-22,2031-06-03
3310,DXCM(PRN),HEALTH CARE,20916000,16269000,0,0,3259,"300,000",0.01,,Q3 2018,,,76.5,13F,2031-04-23,2031-06-04
3311,LBC,FINANCE,1223297,16258000,0,0,3260,424,,0.0237,Q1 2018,11.17,13.29,12.41,13F,2031-04-24,2031-06-05
3312,KVSA,FINANCE,1661875,16253000,0,0,3261,"577,657",-0.25,0.0468,Q1 2021,10.1,9.78,9.76,13F,2031-04-25,2031-06-06
3313,DEBT-HALO(PRN),,18635000,16236000,0,,3262,"18,635,000",,,Q1 2022,,,,13F,2031-04-26,2031-06-07
3314,LXU,MATERIALS,740877,16181000,0,0,3263,"46,867",0.06,0.0083,Q4 2010,9.76,21.84,11.76,13F,2031-04-27,2031-06-08
3315,AVNW,INFORMATION TECHNOLOGY,525162,16159000,0,0,3264,"28,213",0.05,0.047,Q1 2017,29.1,30.77,25.71,13F,2031-04-28,2031-06-09
3316,CCJ,ENERGY,554571,16138000,0,0,3265,"52,341",0.1,0.0014,Q4 2013,17.04,29.1,22.14,13F,2031-04-29,2031-06-10
3317,MYOV,HEALTH CARE,1202975,16023000,0,0,3266,"41,087",0.03,0.0126,Q4 2016,19.96,13.32,12.94,13F,2031-04-30,2031-06-11
3318,CRH,MATERIALS,399214,15992000,0,0,3267,"33,355",-0.07,0.0005,Q2 2017,39.54,40.06,34.3,13F,2031-05-01,2031-06-12
3319,BBVA,FINANCE,2805810,15965000,0,0,3268,"227,315",0.08,0.0004,Q3 2020,5.38,5.69,3.98,13F,2031-05-02,2031-06-13
3320,VERA,HEALTH CARE,679675,15965000,0,0,3269,"224,575",0.49,0.0254,Q2 2021,21.32,23.49,15.49,13F,2031-05-03,2031-06-14
3321,FSBC,FINANCE,563074,15935000,0,0,3270,"13,278",0.02,0.0327,Q2 2021,26.97,28.3,24.61,13F,2031-05-04,2031-06-15
3322,PCYO,UTILITIES AND TELECOMMUNICATIONS,1324247,15918000,0,0,3271,"18,559",-0.01,0.0553,Q1 2017,9.97,12.02,10.25,13F,2031-05-05,2031-06-16
3323,XPOF,CONSUMER DISCRETIONARY,677709,15886000,0,0,3272,"87,975",0.14,0.0251,Q3 2021,16.16,23.44,13.23,13F,2031-05-06,2031-06-17
3324,UGIC,UTILITIES AND TELECOMMUNICATIONS,176294,15866000,0,0,3273,"9,647",-0.05,0.002,Q3 2021,9.35,90,94.68,13F,2031-05-07,2031-06-18
3325,BRG,REAL ESTATE,596253,15842000,0,0,3274,"2,412",,0.02,Q1 2016,11.84,26.57,26,13F,2031-05-08,2031-06-19
3326,ORMP,HEALTH CARE,1830166,15832000,0,0,3275,"271,559",0.17,0.0475,Q2 2018,13.14,8.65,8.14,13F,2031-05-09,2031-06-20
3327,DEBT-ENPH(PRN),,15215000,15809000,0,,3276,"15,215,000",,,Q1 2022,,,,13F,2031-05-10,2031-06-21
3328,EGAN,INFORMATION TECHNOLOGY,1363187,15787000,0,0,3277,"55,853",-0.03,0.0428,Q1 2017,12.5,11.58,9.7,13F,2031-05-11,2031-06-22
3329,SCHP,FINANCE,259986,15784000,0,0,3278,"15,237",-0.05,,Q4 2015,61.64,60.71,55.77,13F,2031-05-12,2031-06-23
3330,VSH(PRN),INFORMATION TECHNOLOGY,15834000,15774000,0,0,3279,"2,825,000",0.21,,Q3 2019,,,18.7,13F,2031-05-13,2031-06-24
3331,CRM(CALL),INFORMATION TECHNOLOGY,73900,15690000,0,0,3280,"132,600",-0.64,,Q1 2021,,,161.04,13F,2031-05-14,2031-06-25
3332,IHG,CONSUMER DISCRETIONARY,227500,15657000,0,0,3281,"13,017",0.06,0.0012,Q3 2020,68.64,68.82,54.83,13F,2031-05-15,2031-06-26
3333,SB,TRANSPORTS,3255342,15495000,0,0,3282,"67,755",-0.02,0.0268,Q1 2017,2.68,4.76,3.24,13F,2031-05-16,2031-06-27
3334,SSTI,INFORMATION TECHNOLOGY,558913,15493000,0,0,3283,98,,0.046,Q3 2017,41.42,27.72,31.43,13F,2031-05-17,2031-06-28
3335,AFCG,REAL ESTATE,809292,15473000,0,0,3284,"34,958",0.04,0.041,Q2 2021,21.23,19.12,15.51,13F,2031-05-18,2031-06-29
3336,RMNI,FINANCE,2660967,15434000,0,0,3285,"9,467",,0.0306,Q2 2018,5.86,5.8,6,13F,2031-05-19,2031-06-30
3337,DEBT-ITRO(PRN),,18225000,15409000,0,,3286,"18,225,000",,,Q1 2022,,,,13F,2031-05-20,2031-07-01
3338,FNDF,FINANCE,475975,15345000,0,0,3287,"26,849",0.05,,Q4 2015,26.29,32.24,26.96,13F,2031-05-21,2031-07-02
3339,EMBK,INFORMATION TECHNOLOGY,2600683,15318000,0,0,3288,No Change,0,0.0072,Q4 2021,8.68,5.89,0.4,13F,2031-05-22,2031-07-03
3340,GATO,MATERIALS,3542883,15305000,0,0,3289,"63,615",0.01,0.0512,Q4 2020,12.4,4.32,2.97,13F,2031-05-23,2031-07-04
3341,IMO,ENERGY,316626,15299000,0,0,3290,"11,431",0.03,0.0005,Q4 2020,25.18,48.32,40.62,13F,2031-05-24,2031-07-05
3342,TH,FINANCE,2549590,15298000,0,0,3291,"29,556",-0.01,0.0263,Q4 2018,8.5,6,12,13F,2031-05-25,2031-07-06
3343,FRSH,INFORMATION TECHNOLOGY,852472,15277000,0,0,3292,"898,565",-0.51,0.008,Q3 2021,40.33,17.92,11.99,13F,2031-05-26,2031-07-07
3344,SJR,COMMUNICATIONS,491788,15265000,0,0,3293,"13,125",0.02,0.001,Q3 2020,26.8,31.04,25.84,13F,2031-05-27,2031-07-08
3345,MCBC,FINANCE,1693807,15261000,0,0,3294,"52,771",-0.03,0.0494,Q2 2016,9.81,9.01,8.72,13F,2031-05-28,2031-07-09
3346,PGEN,HEALTH CARE,7225641,15246000,0,0,3295,"46,196",,0.0348,Q1 2014,12.42,2.11,1.69,13F,2031-05-29,2031-07-10
3347,PSEC,FINANCE,1835826,15201000,0,0,3296,"742,264",-0.28,,Q1 2017,8.04,8.28,7.09,13F,2031-05-30,2031-07-11
3348,EPM,ENERGY,2238707,15200000,0,0,3297,575,,0.0663,Q3 2011,7.75,6.79,5.21,13F,2031-05-31,2031-07-12
3349,DZSI,INFORMATION TECHNOLOGY,1094323,15179000,0,0,3298,"21,698",-0.01,0.0396,Q1 2017,11.36,13.87,15.84,13F,2031-06-01,2031-07-13
3350,STRC,INDUSTRIALS,2266454,15072000,0,0,3299,"206,108",0.1,0.0147,Q3 2021,8.39,6.65,2.95,13F,2031-06-02,2031-07-14
3351,ALVR,HEALTH CARE,2230919,15059000,0,0,3300,"62,747",0.02,0.0341,Q3 2020,26.09,6.75,5.22,13F,2031-06-03,2031-07-15
3352,HFFG,FINANCE,2259862,15051000,0,0,3301,"56,370",-0.02,0.0435,Q2 2019,14.41,6.66,5.02,13F,2031-06-04,2031-07-16
3353,VLDR,FINANCE,5872701,15034000,0,0,3302,"23,811",,0.0282,Q4 2020,10.59,2.56,0.99,13F,2031-06-05,2031-07-17
3354,GBDC,FINANCE,985378,14987000,0,0,3303,"386,591",-0.28,0.0058,Q1 2017,15.27,15.21,13.49,13F,2031-06-06,2031-07-18
3355,ABOS,HEALTH CARE,3831321,14980000,0,0,3304,"721,651",0.23,0.0946,Q3 2021,12.29,3.91,6.26,13F,2031-06-07,2031-07-19
3356,NDLS,CONSUMER DISCRETIONARY,2504073,14948000,0,0,3305,"7,145",,0.0546,Q2 2014,7.89,5.97,4.67,13F,2031-06-08,2031-07-20
3357,URG,MATERIALS,9332258,14932000,0,0,3306,"249,648",0.02,0.0426,Q1 2021,1.41,1.6,1.03,13F,2031-06-09,2031-07-21
3358,EPOL,FINANCE,946107,14929568,0,,3307,"958,374",-0.5,,-,,,13.02,13G,2031-06-10,2031-07-22
3359,XL,FINANCE,7489170,14904000,0,0,3308,"3,873,177",1.07,0.0527,Q4 2020,6.94,1.99,1.22,13F,2031-06-11,2031-07-23
3360,IMUX,HEALTH CARE,1314484,14853000,0,0,3309,"11,708",,0.043,Q1 2015,15.74,11.3,3.69,13F,2031-06-12,2031-07-24
3361,IVLU,FINANCE,583183,14842000,0,0,3310,"187,214",0.47,,Q3 2019,25.31,25.45,21.03,13F,2031-06-13,2031-07-25
3362,AOK,FINANCE,393843,14836000,0,0,3311,"26,013",-0.06,,Q1 2017,34.03,37.67,34.37,13F,2031-06-14,2031-07-26
3363,IMCR,HEALTH CARE,496182,14836000,0,0,3312,No Change,0,0.0113,Q1 2021,42.57,29.9,42.6,13F,2031-06-15,2031-07-27
3364,MFG,FINANCE,5697964,14644000,0,0,3313,"1,526,316",0.36,0.0004,Q3 2020,2.8,2.57,2.24,13F,2031-06-16,2031-07-28
3365,AKAM(PRN),,11137000,14635000,0,0,3314,"3,775,000",0.51,,Q2 2019,,,,13F,2031-06-17,2031-07-29
3366,TPG,FINANCE,483884,14585000,0,,3315,"483,884",,0.0068,Q1 2022,30.14,30.14,23.89,13F,2031-06-18,2031-07-30
3367,DALS,FINANCE,1501060,14583000,0,0,3316,No Change,0,0.0727,Q3 2021,9.83,9.72,9.69,13F,2031-06-19,2031-07-31
3368,TPBA,FINANCE,1499800,14578000,0,0,3317,No Change,0,0.0832,Q4 2021,9.8,9.72,9.69,13F,2031-06-20,2031-08-01
3369,VTGN,HEALTH CARE,11732424,14549000,0,0,3318,"161,769",-0.01,0.0568,Q4 2019,2.9,1.24,0.86,13F,2031-06-21,2031-08-02
3370,ASLE,FINANCE,917919,14430000,0,0,3319,"327,380",0.55,0.0178,Q2 2021,14.51,15.72,15.93,13F,2031-06-22,2031-08-03
3371,WISH,INFORMATION TECHNOLOGY,6402156,14405000,0,0,3320,"563,737",0.09,0.0107,Q4 2020,8.02,2.25,1.48,13F,2031-06-23,2031-08-04
3372,RBLX,INFORMATION TECHNOLOGY,311209,14390000,0,0,3321,"226,029",2.65,0.0006,Q1 2021,52.56,46.24,37.49,13F,2031-06-24,2031-08-05
3373,SRRA,HEALTH CARE,448430,14372000,0,,3322,"424,985",18.12,0.0184,Q2 2020,31.37,32.05,,13F,2031-06-25,2031-08-06
3374,ACMR,INDUSTRIALS,693370,14346000,0,0,3323,"12,452",-0.01,0.0128,Q2 2018,7.48,20.69,15.21,13F,2031-06-26,2031-08-07
3375,FWONA(PRN),COMMUNICATIONS,9213000,14313000,0,0,3324,"550,000",0.06,,Q1 2017,,,54.5,13F,2031-06-27,2031-08-08
3376,NKTX,HEALTH CARE,1253706,14268000,0,0,3325,"44,625",-0.03,0.038,Q3 2020,38.37,11.38,13.74,13F,2031-06-28,2031-08-09
3377,VONE,FINANCE,68822,14260000,0,0,3326,"46,105",2.02,,Q4 2015,208.5,207.2,172.09,13F,2031-06-29,2031-08-10
3378,TCMD,HEALTH CARE,1949154,14228824,0,0,3327,"1,815,641",-0.48,0.0978,-,,,6.88,13G,2031-06-30,2031-08-11
3379,BRBS,FINANCE,937804,14227000,0,0,3328,"22,437",-0.02,0.05,Q2 2020,17.41,15.17,14.49,13F,2031-07-01,2031-08-12
3380,MRUS,HEALTH CARE,536800,14192000,0,0,3329,"160,822",-0.23,0.0123,Q1 2019,27.04,26.44,27.45,13F,2031-07-02,2031-08-13
3381,ORGN,FINANCE,2155334,14182000,0,0,3330,"3,613",,0.0152,Q3 2021,6.74,6.58,5.31,13F,2031-07-03,2031-08-14
3382,DSGR,INDUSTRIALS,367291,14156000,0,0,3331,"1,625",,0.0189,Q1 2016,24.89,38.54,47.97,13F,2031-07-04,2031-08-15
3383,LWLG,INFORMATION TECHNOLOGY,1473021,14155000,0,0,3332,"38,426",0.02,0.0132,Q4 2021,14.74,9.61,9.65,13F,2031-07-05,2031-08-16
3384,OB,COMMUNICATIONS,1317366,14135000,0,0,3333,"707,372",1.15,0.0228,Q3 2021,12.61,10.73,5.11,13F,2031-07-06,2031-08-17
3385,LQDB,FINANCE,150000,14015000,0,0,3334,No Change,0,,Q2 2021,102.76,93.44,86.41,13F,2031-07-07,2031-08-18
3386,KEP,UTILITIES AND TELECOMMUNICATIONS,1500275,13968000,0,0,3335,"459,336",0.44,0.0012,Q3 2015,11.47,9.31,8.17,13F,2031-07-08,2031-08-19
3387,USBF,FINANCE,150000,13961000,0,0,3336,No Change,0,,Q4 2021,99.8,93.08,87.55,13F,2031-07-09,2031-08-20
3388,FFIE,FINANCE,2782292,13885000,0,0,3337,"20,833",,0.0117,Q3 2021,8.88,4.99,7,13F,2031-07-10,2031-08-21
3389,DEBT-MIDD(PRN),,10057000,13848000,0,0,3338,"325,000",0.03,,Q3 2021,,,,13F,2031-07-11,2031-08-22
3390,BB,INFORMATION TECHNOLOGY,1842439,13744000,0,0,3339,"80,274",0.04,0.0032,Q4 2015,8.69,7.46,5.62,13F,2031-07-12,2031-08-23
